2.5019e+007,4.8036e+007,2.5061e+007,2.5061e+006,2.5061e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.5278e+007,6.7733e+007,5.8917e+007,5.8917e+006,5.8917e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.0218e+007,7.7218e+007,7.5218e+007,7.5218e+006,7.5218e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.1477e+007,6.0436e+007,4.6374e+007,4.6374e+006,4.6374e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5361e+007,4.8693e+007,2.6192e+007,2.6192e+006,2.6192e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.9315e+007,5.6284e+007,3.9239e+007,3.9239e+006,3.9239e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.3815e+007,6.4924e+007,5.4089e+007,5.4089e+006,5.4089e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.3144e+007,6.3636e+007,5.1874e+007,5.1874e+006,5.1874e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5421e+007,4.8809e+007,2.639e+007,2.639e+006,2.639e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5019e+007,4.8036e+007,2.5061e+007,2.5061e+006,2.5061e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.3843e+007,6.4978e+007,5.4181e+007,5.4181e+006,5.4181e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.8597e+007,7.4107e+007,6.9871e+007,6.9871e+006,6.9871e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.0106e+007,5.7804e+007,4.1851e+007,4.1851e+006,4.1851e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5815e+007,4.9564e+007,2.7689e+007,2.7689e+006,2.7689e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5185e+007,4.8356e+007,2.5611e+007,2.5611e+006,2.5611e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.6824e+007,5.1502e+007,3.1019e+007,3.1019e+006,3.1019e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.1667e+007,8e+007,8e+007,8e+006,8e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.1667e+007,8e+007,8e+007,8e+006,8e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.9051e+007,7.4978e+007,7.1368e+007,7.1368e+006,7.1368e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.706e+007,5.1956e+007,3.1799e+007,3.1799e+006,3.1799e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.7514e+007,7.2027e+007,6.6296e+007,6.6296e+006,6.6296e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.7514e+007,5.2827e+007,3.3296e+007,3.3296e+006,3.3296e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.1065e+007,5.9644e+007,4.5014e+007,4.5014e+006,4.5014e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.7315e+007,7.1644e+007,6.5639e+007,6.5639e+006,6.5639e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.2153e+007,6.1733e+007,4.8604e+007,4.8604e+006,4.8604e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.1667e+007,8e+007,8e+007,8e+006,8e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.1667e+007,8e+007,8e+007,8e+006,8e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.8759e+007,7.4418e+007,7.0406e+007,7.0406e+006,7.0406e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.6565e+007,7.0204e+007,6.3164e+007,6.3164e+006,6.3164e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.1009e+007,5.9538e+007,4.4831e+007,4.4831e+006,4.4831e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5134e+007,4.8258e+007,2.5443e+007,2.5443e+006,2.5443e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.7204e+007,7.1431e+007,6.5272e+007,6.5272e+006,6.5272e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
4.1556e+007,7.9787e+007,7.9633e+007,7.9633e+006,7.9633e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.612e+007,6.9351e+007,6.1697e+007,6.1697e+006,6.1697e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.4764e+007,6.6747e+007,5.7221e+007,5.7221e+006,5.7221e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
2.5093e+007,4.8178e+007,2.5306e+007,2.5306e+006,2.5306e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
3.2944e+007,6.3253e+007,5.1217e+007,5.1217e+006,5.1217e+006,0.00083333,0.0016,0.0033333,0.008,0.0083333
